State_2016,State_2020,Abbrev
Ala.,Ala.,AL
Alaska,Alaska,AK
Ariz.,Arizona,AZ
Ark.,Ark.,AR
Calif.,Calif.,CA
Colo.,Colo.,CO
Conn.,Conn.,CT
Del.,Del.,DE
D.C.,D.C.,DC
Fla.,Florida,FL
Ga.,Georgia,GA
Hawaii,Hawaii,HI
Idaho,Idaho,ID
Ill.,Illinois,IL
Ind.,Indiana,IN
Iowa,Iowa,IA
Kan.,Kansas,KS
Ky.,Ky.,KY
La.,La.,LA
Maine ,Maine ,ME
Md.,Md.,MD
Mass.,Mass.,MA
Mich.,Mich.,MI
Minn.,Minn.,MN
Miss.,Miss.,MS
Mo.,Mo.,MO
Mont.,Mont.,MT
Nebr. ,Neb. ,NE
Nev.,Nev.[o],NV
N.H.,N.H.,NH
N.J.,N.J.[p],NJ
N.M.,N.M.,NM
N.Y.,N.Y.[q],NY
N.C.,N.C.,NC
N.D.,N.D.,ND
Ohio,Ohio,OH
Okla.,Okla.,OK
Ore.,Oregon,OR
Pa.,Pa.,PA
R.I.,R.I.,RI
S.C.,S.C.,SC
S.D.,S.D.,SD
Tenn.,Tenn.,TN
Texas,Texas[s],TX
Utah,Utah,UT
Vt.,Vt.,VT
Va.,Va.,VA
Wash.,Wash.,WA
W.Va.,W.Va.,WV
Wis.,Wis.,WI
Wyo.,Wyo.,WY
